Gloss,Instances with Video
book,11
drink,20
computer,20
before,19
chair,11
go,17
clothes,9
who,15
candy,16
cousin,13
deaf,16
fine,13
help,14
no,15
thin,17
walk,12
year,13
yes,16
all,13
black,15
cool,15
finish,15
hot,16
like,16
many,14
mother,16
now,15
orange,15
table,8
thanksgiving,15
what,11
woman,15
bed,15
blue,12
bowling,16
can,11
dog,14
family,14
fish,14
graduate,13
hat,12
hearing,15
kiss,13
language,13
later,13
man,14
shirt,15
study,15
tall,15
white,15
wrong,15
accident,14
apple,14
bird,14
change,14
color,14
corn,12
cow,13
dance,12
dark,13
doctor,11
eat,9
enjoy,11
forget,14
give,13
last,11
meet,13
pink,13
pizza,15
play,11
school,12
secretary,14
short,13
time,11
want,12
work,12
africa,13
basketball,12
birthday,11
brown,12
but,11
cheat,12
city,13
cook,12
decide,13
full,13
how,11
jacket,9
letter,12
medicine,8
need,12
paint,11
paper,13
pull,13
purple,12
right,10
same,11
son,13
tell,12
thursday,14
visit,14
wait,12
water,13
wife,12
yellow,12
backpack,12
bar,10
brother,11
cat,11
check,12
class,10
cry,10
different,12
door,11
green,11
hair,12
have,10
headache,13
inform,10
knife,8
laugh,12
learn,12
movie,7
rabbit,10
read,10
red,10
room,10
run,9
show,10
sick,11
snow,10
take,10
tea,10
teacher,12
week,12
why,11
with,10
write,13
yesterday,13
again,12
bad,12
ball,11
bathroom,10
blanket,9
buy,11
call,10
coffee,11
cold,11
college,12
copy,8
cute,8
daughter,12
example,9
far,12
first,11
friend,9
good,12
happy,11
home,10
know,11
late,10
leave,11
list,12
lose,10
name,10
old,8
person,10
police,11
problem,10
remember,11
share,10
soon,9
stay,11
sunday,12
test,9
tired,10
trade,13
travel,10
window,9
you,12
about,8
approve,11
arrive,11
balance,11
banana,10
beard,10
because,9
boy,10
business,11
careful,11
center,10
chat,11
children,7
christmas,9
clock,7
close,6
convince,11
country,9
crash,10
day,10
discuss,11
dress,9
drive,9
drop,10
fat,11
feel,9
football,10
future,10
game,9
girl,10
government,11
hear,10
here,9
hope,11
house,10
husband,9
interest,10
join,10
light,10
live,7
make,10
mean,8
more,11
most,11
music,10
new,10
none,8
office,10
order,7
pants,9
party,10
past,11
pencil,9
plan,10
please,9
practice,9
president,11
restaurant,10
ride,7
russia,11
salt,11
sandwich,11
sign,10
since,10
small,10
some,9
south,11
student,11
teach,11
theory,9
tomato,10
train,8
ugly,11
war,9
where,9
your,12
always,10
animal,10
argue,11
baby,10
back,8
bake,9
bath,10
behind,9
bring,10
catch,8
cereal,9
champion,11
cheese,10
cough,9
crazy,10
delay,11
delicious,10
disappear,10
divorce,8
draw,9
east,9
easy,9
egg,9
environment,9
father,10
fault,10
flower,9
friendly,9
glasses,10
halloween,9
hard,9
heart,8
hour,10
humble,10
hurry,8
improve,9
internet,10
jump,7
kill,10
law,10
match,9
meat,10
milk,9
money,9
month,9
moon,8
move,10
near,10
nephew,9
nice,9
niece,10
noon,10
north,10
not,10
nurse,7
off,9
ok,11
patient,8
pay,10
perspective,10
potato,10
sad,9
saturday,8
save,8
scissors,8
secret,10
shoes,8
shop,6
silly,9
sister,10
sleep,8
sorry,9
straight,8
sweet,9
talk,9
temperature,11
tent,11
thank you,7
think,10
throw,8
today,11
traffic,10
understand,9
use,10
voice,9
vomit,10
vote,9
wednesday,10
west,9
wet,10
when,8
which,7
win,10
word,8
afternoon,9
age,9
alone,9
appointment,10
australia,10
avoid,9
balloon,8
basement,8
bear,8
believe,10
better,10
blind,9
bored,6
bowl,7
box,9
bracelet,7
bread,9
cafeteria,9
car,9
chicken,8
child,9
choose,9
church,7
cookie,9
cup,8
cut,7
decorate,9
deep,9
deer,7
dentist,9
dirty,9
dive,9
down,10
dry,9
ear,9
earn,9
earring,7
elephant,7
english,7
escape,10
expensive,10
explain,10
fast,9
fight,9
find,9
fishing,8
floor,8
fly,5
follow,10
from,8
get,10
happen,9
hello,7
hit,9
hospital,8
idea,8
important,9
investigate,10
japan,8
jealous,9
king,9
kitchen,6
large,10
last year,11
lemon,9
lettuce,8
marry,9
meeting,8
minute,8
mirror,9
miss,8
monkey,8
morning,8
motorcycle,8
necklace,9
never,9
newspaper,8
night,8
onion,9
people,8
pepper,10
phone,7
picture,9
plus,9
point,6
poor,9
possible,9
quiet,8
rain,7
ready,11
research,8
scared,8
science,9
score,10
sentence,9
shape,9
sit,8
slow,9
snake,7
soap,8
soda,8
speech,9
star,8
stink,10
struggle,10
stubborn,9
sunset,8
surgery,10
there,10
tiger,10
toast,9
toilet,7
tomorrow,10
town,9
transfer,10
tree,6
truck,9
uncle,8
vacation,8
weather,10
weekend,10
accept,9
adult,8
after,7
ago,9
allow,9
america,8
angel,8
answer,9
any,8
area,8
art,7
asl,8
aunt,8
awful,8
awkward,8
bacon,8
bark,8
bedroom,7
beer,9
belt,7
big,8
bitter,9
both,7
cake,6
california,9
canada,8
carrot,10
cause,8
challenge,8
cheap,8
chocolate,8
clean,7
cloud,8
compare,9
complex,8
contact,7
continue,8
corner,7
correct,8
curse,8
dead,8
demand,8
depend,8
desert,7
desk,8
develop,8
dictionary,7
doll,8
duty,8
easter,9
egypt,9
elevator,7
email,7
end,8
enter,9
europe,8
event,9
exchange,8
experience,7
face,9
fail,9
feed,8
few,7
flag,7
food,9
for,7
form,8
freeze,6
friday,9
front,8
giraffe,7
god,8
grammar,9
grandfather,8
great,9
greece,8
guess,7
guitar,6
hammer,7
helicopter,7
high,7
history,9
hungry,7
hurt,7
introduce,8
invest,10
lazy,8
library,7
lie,8
lobster,7
love,8
lucky,9
magazine,8
measure,7
microwave,9
my,8
neighbor,10
number,8
one,8
outside,8
peach,7
pig,7
polite,9
postpone,10
power,8
present,5
price,6
prison,8
push,7
raccoon,7
really,8
reason,7
religion,8
respect,7
rule,8
salad,8
schedule,8
sell,8
serious,8
shower,6
single,8
smart,8
smile,5
soft,9
sound,7
soup,8
spain,9
spray,8
squirrel,6
stomach,8
story,7
strange,8
street,7
stress,8
strict,8
strong,9
sugar,9
summer,7
suspect,8
sweetheart,9
tease,8
that,6
themselves,9
therapy,10
thirsty,8
ticket,7
top,8
tuesday,9
turkey,8
university,8
until,9
watch,8
weak,8
wedding,7
will,9
wind,8
world,7
worry,8
wow,9
young,7
add,8
airplane,7
already,8
also,8
analyze,8
and,6
angry,8
appear,7
arm,7
army,7
arrest,7
asia,7
ask,8
attitude,8
attract,6
bald,8
barely,9
baseball,8
beg,6
benefit,6
bite,7
blame,7
boat,7
body,7
borrow,7
boss,7
bother,8
bottle,7
bottom,9
brag,5
build,8
bus,8
butter,7
calm,7
cancel,8
candle,7
cards,4
choice,8
comb,6
comfortable,8
conflict,7
cover,9
deodorant,7
dessert,8
destroy,9
diamond,6
dollar,8
drawer,7
dream,7
drunk,8
duck,6
during,8
eagle,7
early,8
equal,5
every,7
excited,7
exercise,5
experiment,7
expert,8
fact,8
fear,8
feedback,7
fold,6
forest,8
france,7
frog,6
funny,6
garage,6
goal,7
golf,7
gone,9
gossip,7
grandmother,8
grapes,9
group,7
guilty,6
hamburger,7
hate,6
head,8
her,7
horse,6
ignore,5
impossible,7
in,8
independent,8
inside,7
insurance,7
island,7
lecture,7
lesson,6
limit,7
lion,6
listen,8
march,6
math,7
maybe,6
mechanic,7
mom,8
mouse,5
much,6
muscle,9
museum,7
must,8
mustache,8
negative,7
nervous,7
neutral,7
nose,8
often,8
operate,5
opinion,8
other,7
pass,7
pillow,6
prepare,8
pretty,6
priest,6
program,7
promise,6
put,7
queen,7
quit,8
radio,7
rat,7
reject,9
require,7
rest,6
retire,9
rise,7
river,5
rough,8
see,5
seem,7
send,7
sew,6
sheep,6
shine,8
shock,9
should,8
silent,8
skinny,8
skirt,7
sky,8
sour,8
special,7
spirit,7
staff,7
stand,7
steal,8
stop,6
stupid,6
summon,7
sunrise,8
swallow,7
television,7
to,8
together,7
translate,7
triangle,7
turtle,6
underwear,8
up,9
upset,9
violin,6
volunteer,7
warm,6
warn,7
wash,7
wine,7
witness,8
wood,7
zero,6
across,8
actor,7
agree,7
alarm,6
allergy,5
almost,8
announce,6
apartment,7
attention,6
audience,7
august,7
autumn,7
away,6
beautiful,8
become,7
below,7
best,7
bet,7
bicycle,5
biology,5
boyfriend,8
break,6
bridge,5
brush,4
building,6
busy,7
camera,5
camp,7
caption,5
care,7
carry,7
celebrate,6
certificate,5
chain,7
chance,6
character,6
chase,7
classroom,7
clear,6
climb,7
command,6
community,7
complain,7
compromise,7
contribute,8
cop,8
cost,6
couch,6
cracker,6
curious,6
curriculum,8
dad,7
deny,7
describe,7
diaper,5
diarrhea,6
disagree,7
dissolve,6
divide,6
dolphin,4
double,6
doubt,6
dumb,6
earth,6
earthquake,7
eight,6
embarrass,7
emotion,7
encourage,7
energy,6
enough,5
evaluate,6
evidence,7
exact,6
exaggerate,6
expect,7
fancy,8
favorite,6
finally,7
fox,7
french,6
fruit,6
function,6
gather,5
germany,7
gloves,6
goat,6
goodbye,5
grow,5
gum,7
half,7
hawaii,7
herself,7
highway,7
homework,6
honor,6
ice cream,7
if,7
increase,8
india,7
information,8
interpret,6
interview,7
invite,5
israel,7
jesus,7
keep,7
keyboard,6
land,8
lawyer,6
lead,6
lesbian,6
line,6
lock,5
loud,7
lousy,7
lunch,7
machine,5
mad,6
memorize,7
minus,8
monday,8
mountain,6
mouth,6
mushroom,8
napkin,7
neck,7
next,7
ocean,7
open,7
overwhelm,7
owe,6
page,6
pain,6
parade,6
parents,8
perfect,6
period,6
philosophy,5
photographer,6
place,7
policy,7
popular,7
pray,7
predict,6
presentation,9
print,6
printer,7
private,7
procrastinate,7
project,6
protect,7
prove,7
provide,7
psychology,7
punish,6
puzzled,6
question,7
quick,7
rainbow,6
rake,5
rehearse,7
remove,7
revenge,5
review,8
rich,7
roof,7
rooster,6
rude,6
say,6
scientist,6
scotland,7
screwdriver,7
second,4
senate,7
separate,7
service,8
shrimp,6
shy,7
side,6
situation,8
slave,7
soccer,7
socks,5
solid,7
sometimes,7
spider,6
spin,9
square,7
stairs,6
stare,7
start,6
store,6
straw,7
structure,9
suggest,7
sun,6
support,7
suppose,7
sure,6
surprise,6
sweater,5
swim,6
symbol,8
taste,6
team,7
telephone,6
tennis,6
their,8
then,5
thermometer,4
thing,6
third,7
thousand,6
three,6
tie,7
topic,6
touch,7
tournament,7
try,6
two,5
type,5
umbrella,6
vegetable,4
vocabulary,6
waste,6
we,7
wear,6
weekly,6
welcome,5
winter,6
without,7
wolf,6
worm,6
wristwatch,7
yourself,8
above,6
accomplish,4
adopt,6
advantage,4
alphabet,3
anniversary,5
another,6
appropriate,6
arrogant,7
artist,6
background,6
bee,7
behavior,6
bell,6
birth,6
bless,6
blood,4
boots,1
brave,5
breathe,5
bright,5
bull,6
butterfly,4
card,7
category,5
catholic,5
cent,5
chemistry,6
cherry,7
china,5
chop,6
christian,7
cigarette,4
clever,6
clown,4
coach,6
coat,6
cochlear implant,8
coconut,5
common,6
commute,6
control,6
count,6
culture,6
daily,5
defend,6
degree,6
demonstrate,6
department,5
die,5
dig,5
dinner,6
dinosaur,7
diploma,5
director,7
disconnect,7
discover,6
don't want,5
drum,4
each,6
educate,6
electrician,5
empty,6
england,6
establish,6
excuse,4
eyeglasses,4
faculty,7
fall in love,7
famous,6
farm,7
fence,6
fix,5
flexible,7
flirt,7
flood,6
fork,5
four,6
fun,7
funeral,6
furniture,5
gallaudet,5
general,5
ghost,6
give up,6
glass,6
gorilla,5
gray,7
guide,5
habit,5
health,6
hearing aid,4
heaven,5
heavy,6
helmet,5
hide,5
high school,4
hockey,5
hold,7
honest,5
hug,4
hunt,5
image,5
influence,5
interesting,7
interpreter,6
iran,8
italy,5
jewish,7
judge,5
key,4
label,5
leaf,5
left,5
lend,6
less,6
linguistics,6
lonely,6
long,6
magic,4
mainstream,6
major,6
manager,7
maximum,6
me,6
mexico,6
middle,7
mind,4
misunderstand,5
monster,6
multiply,7
myself,5
nothing,6
october,7
odd,5
offer,6
on,6
only,6
opposite,7
out,7
overlook,7
path,6
percent,5
physics,7
piano,5
pick,5
pie,5
plate,6
pocket,7
popcorn,5
positive,5
pregnant,6
prevent,6
proof,5
pumpkin,6
purpose,6
race,6
realize,6
recognize,6
refuse,6
relationship,6
repeat,5
replace,6
report,6
represent,7
request,6
responsibility,6
result,6
reveal,5
ring,5
rob,8
rock,5
role,6
rope,5
rush,6
salute,6
satisfy,7
search,7
selfish,6
sensitive,6
serve,6
seven,6
shampoo,5
she,6
shelf,6
shopping,7
sign language,6
similar,5
sing,5
six,6
skeleton,5
sketch,6
skill,5
sleepy,6
slip,4
smell,5
sneeze,5
snob,6
specific,7
stamp,7
steel,6
strawberry,7
subtract,6
subway,6
suffer,6
surface,6
sweep,6
swing,4
switzerland,8
tale,6
tan,6
teeth,4
terrible,6
thankful,6
they,6
through,6
tiptoe,4
title,5
tooth,6
toothbrush,4
total,5
tough,6
tradition,5
trophy,5
trouble,5
true,5
trust,6
under,6
verb,5
wall,5
watermelon,6
way,5
weird,6
while,6
wide,6
willing,7
wish,5
wonderful,7
workshop,5
worse,6
wrench,3
a,5
a lot,7
abdomen,5
able,5
accountant,4
action,6
active,6
activity,6
address,4
affect,5
afraid,6
against,5
agenda,5
ahead,5
aim,3
alcohol,5
algebra,5
all day,5
amazing,4
angle,6
apart,4
apostrophe,6
appetite,5
appreciate,5
april,6
archery,5
around,5
article,5
assistant,6
attend,6
auction,5
authority,5
average,5
awake,4
b,5
babysitter,6
battle,4
beginning,7
belief,6
bible,5
bike,4
blend,5
bone,3
bra,4
brief,5
broke,5
bug,4
bully,5
button,4
cabbage,4
cabinet,6
calculate,6
calculator,5
calculus,5
camping,5
canoe,4
careless,5
ceiling,5
cemetery,5
chapter,5
choir,5
circle,4
come,6
come here,7
company,5
complete,4
concept,3
concern,5
confront,6
confused,6
congress,6
connect,5
conquer,4
constitution,6
contract,5
court,6
crab,6
cross,4
cruel,6
crush,5
date,4
december,6
decrease,5
deduct,5
defeat,4
deposit,5
depressed,6
detach,4
determine,4
diabetes,5
dime,5
dirt,6
disgust,6
dismiss,4
dizzy,6
document,7
dorm,6
dormitory,4
downstairs,6
economy,5
education,6
effort,4
eighteen,4
engage,5
engagement,5
engineer,5
envelope,6
erase,6
eternity,6
evening,5
everyday,5
expand,5
eye,6
eyes,5
fake,6
farmer,5
february,5
federal,5
final,5
florida,5
flute,6
forbid,4
forever,6
fourth,6
free,4
french fries,6
gamble,5
gas,5
gasoline,4
generation,5
geography,7
german,5
girlfriend,6
gold,5
grandma,6
grass,5
grow up,6
gun,4
haircut,4
hard of hearing,6
hippopotamus,4
his,4
honey,4
hurricane,6
identify,4
include,5
infection,8
innocent,6
insect,5
instead,5
institute,6
international,5
interrupt,6
involve,3
jail,7
january,6
joke,5
june,6
kangaroo,5
karate,5
kick,6
kneel,4
knock,5
laptop,5
lift,5
lightning,6
lip,5
lipstick,4
local,5
manage,4
mature,5
member,6
message,5
metal,5
microphone,6
mix,5
monthly,5
motor,5
nation,6
network,6
nickel,5
nineteen,6
normal,5
november,6
nut,5
octopus,5
once,5
organize,6
over,5
owl,5
p,5
parachute,4
paragraph,5
parallel,5
pay attention,5
peace,4
peanut butter,4
perfume,6
personality,5
pet,5
philadelphia,6
physician,6
piece,5
pity,5
plant,4
plenty,6
pneumonia,6
politics,5
position,5
pound,5
pour,4
praise,5
preach,5
preacher,4
prefer,4
pressure,6
principal,4
priority,6
professional,6
professor,5
promote,5
prostitute,5
proud,6
quote,5
receive,5
recent,6
reduce,5
refer,5
referee,6
relate,5
relax,4
remote control,4
rent,5
reputation,6
resign,6
responsible,5
ridiculous,5
road,4
robot,5
rubber,5
safe,5
sauce,5
sausage,5
scold,3
senior,6
september,5
several,5
shame,5
shave,4
shoot,4
shoulder,4
silver,5
simple,5
siren,5
size,5
skate,4
skin,7
skunk,6
slice,6
smooth,6
snack,6
snowman,5
society,5
someone,6
song,5
sore throat,6
south america,5
spanish,6
speak,6
speed,5
spell,5
spoon,4
spring,5
standard,5
statistics,5
sticky,6
still,4
stretch,5
surgeon,3
sweden,6
swimsuit,5
sympathy,4
take turns,7
take up,6
technology,5
temple,6
tender,5
thailand,6
theater,4
them,5
theme,5
thick,5
this,5
throat,5
tissue,5
tongue,5
tonight,5
tornado,5
tower,5
tranquil,6
transform,5
tutor,5
twin,5
united states,5
value,7
visitor,6
waiter,5
wake up,5
wallet,4
wander,4
wash face,1
weight,5
whale,5
whatever,5
within,5
wonder,6
worker,5
worthless,6
wrap,6
accent,5
act,4
adapt,5
adjective,5
adjust,4
admire,3
admit,5
advanced,5
adverb,5
agreement,4
aid,6
alligator,4
amputate,4
anatomy,4
annoy,4
anyway,5
approach,6
arizona,5
assist,5
assume,4
attorney,4
audiologist,4
audiology,4
austria,5
author,4
available,5
award,4
aware,4
bank,3
baptize,5
basic,5
battery,4
berry,5
beside,5
between,5
binoculars,4
blow,4
boast,4
boil,5
bookshelf,2
bookstore,5
boxing,4
braid,4
brain,4
breakdown,6
breakfast,4
breeze,4
bribe,4
brochure,4
buffalo,4
burp,5
bush,5
bye,4
camel,3
candidate,5
cannot,5
captain,4
carnival,5
caterpillar,3
cheerleader,5
chemical,5
chicago,3
choke,4
christ,4
click,4
closet,4
clueless,5
clumsy,4
collect,4
comma,4
comment,5
commit,4
committee,5
common sense,5
compete,4
concentrate,4
congratulations,4
consider,4
construct,4
consume,3
contest,4
conversation,5
convert,4
cooperate,3
counsel,5
counselor,5
crave,5
create,4
crocodile,3
crown,4
cuba,6
curtain,3
customer,4
d,4
damage,4
dancer,5
danger,5
dangerous,5
dawn,3
death,4
debate,4
debt,4
deliver,5
democrat,5
descend,5
design,4
detective,4
devil,5
dice,3
difficult,4
dining room,5
discipline,5
discount,4
disgusted,5
disturb,4
division,4
done,4
drag,4
dragon,5
drama,4
drug,4
due,5
dull,5
dusk,3
dvd,7
dye,4
e,4
either,4
electricity,4
elementary,4
else,5
emergency,6
engine,5
enormous,5
eraser,5
every monday,5
every tuesday,5
everything,5
except,5
exhibit,3
explode,5
express,6
f,4
fairy,6
familiar,5
festival,3
finance,4
fingerspell,5
fire,3
firefighter,4
five,6
flatter,5
fool,4
forgive,5
former,5
freeway,5
from now on,5
g,4
gang,4
gay,3
geometry,4
get up,4
gift,4
grab,3
graduation,4
grateful,6
grey,4
gymnastics,4
h,4
hang up,2
hanukkah,5
heap,3
heart attack,5
hill,4
holy,5
hop,4
host,5
hot dog,4
human,4
i,4
ill,4
illegal,5
impact,3
individual,4
inspect,4
inspire,5
intersection,5
ireland,6
iron,3
j,4
jewelry,6
journey,4
joy,4
july,5
k,4
kid,4
kindergarten,4
lady,4
lamp,4
last week,5
laundry,5
leader,5
league,4
leak,5
legal,4
let,4
liability,5
librarian,5
license,4
little bit,5
loan,4
look at,4
look for,3
lord,4
m,4
meaning,6
melody,5
melt,4
mention,5
microscope,3
midnight,5
military,5
mine,4
mistake,4
mock,5
moose,3
mosquito,4
motivate,5
murder,4
n,4
narrow,4
necessary,4
negotiate,5
new york,4
nine,4
northwest,5
not yet,4
notice,5
numerous,3
nun,4
o,4
objective,4
obsess,6
obtain,4
occur,5
odor,5
olympics,4
or,5
oral,4
our,4
overcome,6
pack,4
painter,5
part,4
pause,6
peaceful,6
pear,5
peel,4
penalty,4
pennsylvania,6
penny,2
permit,6
phrase,6
pickle,6
pilot,4
player,5
polar bear,4
policeman,5
poop,5
post,4
potential,5
poverty,4
precious,5
precipitation,5
precise,5
preschool,4
pride,4
prince,4
princess,4
principle,6
process,4
profit,4
progress,4
propaganda,3
proper,4
psychologist,3
public,4
publish,5
purchase,4
pure,3
pursue,4
put off,5
q,4
quality,5
quarrel,4
quarter,4
r,4
rage,4
rather,4
real,4
recliner,3
recommend,4
recover,6
regular,5
release,4
relief,5
rely,5
reply,4
rescue,4
resist,5
restroom,4
retreat,5
roar,4
robber,6
roommate,4
rose,4
ruin,6
s,4
salary,5
saw,4
scan,3
scream,4
sculpture,6
sea,5
seldom,3
sequence,6
settle,4
shout,4
shovel,3
sin,4
singer,3
sixteen,5
ski,3
skip,4
smoking,2
sofa,5
soldier,4
solve,5
someday,6
something,5
somewhere,5
soul,4
spill,6
spit,4
spread,3
sprint,5
squeeze,4
stadium,5
stepfather,4
sting,4
stir,4
stitch,4
stuck,5
sue,5
sunshine,5
superman,5
surrender,4
suspend,4
swimming,5
t,4
talent,4
telescope,4
tempt,4
ten,4
tend,5
testify,5
texas,4
text,5
than,4
therefore,5
thrill,5
tobacco,4
toilet paper,4
tolerate,4
torture,5
towel,5
trip,3
truth,5
turn,3
tv,3
u,4
unique,6
upstairs,5
v,4
vacant,4
vague,4
valley,4
vampire,3
very,4
vice president,4
viewpoint,5
visualize,4
vlog,5
volleyball,6
w,4
washington,6
waterfall,5
weigh,4
wheelchair,4
whistle,3
Summary,"Avg: 6.81, Min: 1, Max: 20"
